,nombre,url,precio,image,estado,municipio,sector,detalle,fec_ini,tipo,bath,mail,tipo2,estacionamiento,area,telefono
0,CASA EN VENTA,https://www.segundamano.mx/anuncios/chiapas/tuxtla-gutierrez/venta-inmuebles/casa-en-venta-public-ads-935351347,14000000,https://images.segundamano.mx/api/v1/smmx/images/06/0690162942.jpg?rule=webp_web_gallery_2x,Chiapas,Tuxtla Gutiérrez,Otra,"Colonia: Las Granjas Boulevard

Se vende casa con uso de suelo de un piso, esquina, ideal para oficina, con la mejor ubicación dentro de la Ciudad.",25 Aug 22 11:37 CDT,Vendo,,,Oficinas/locales,,400 m²,9616029021
1,"Consultorio en venta ubicada en Cancun, sobre aven",https://www.segundamano.mx/anuncios/quintana-roo/benito-juarez/venta-inmuebles/consultorio-en-venta-ubicada-en-cancun-sobre-aven-public-ads-937629582,1695000,https://images.segundamano.mx/api/v1/smmx/images/11/1123026912.jpg?rule=webp_web_gallery_2x,Quintana Roo,Benito Juárez,Supermanzana 327,"Ref: NEX-42861

Este consultorio se encuentra ubicado en Cancún Quintana Roo, en la avenida Huayacán, una de las vialidades en crecimiento y enfocada
al comercio con una muy alta circulación en ambos sentidos, planeamos un desarrollo vanguardista con la fortaleza de una amplia diversificación de productos. CONSULTORIOS.

UBICACIÓN PRIVILEGIADA
Situado en una zona estratégica y de creciente plusvalía en Cancún. A 10 minutos del centro y 15 del Aeropuerto Internacional.

Su exclusiva localización, en uno de los corredores comerciales más importantes de la ciudad, zona Cumbres, brinda a los clientes libertad de movilidad para desplazarse hacia cualquier punto.

CARACTERÍSTICAS ÚNICAS

Equipamiento
Sistema contra incendios
Sistema hidráulico
Planta de luz para emergencias
Cisterna con amplia capacidad
Circuito cerrado de vigilancia CCTV 24/7
Seguridad 24/7
Preparaciones para aire acondicionado
Lobby de Lujo

Espacios
Espacios modulares en venta desde 29 m2 hasta 237 m2
Altura libre de 3.5 m hasta 3.8 m

Amenidades
Kids zone
Aparcabicis
Comedor de para empleados en sótano
Bebederos para mascotas

Baños / W.C.
Preparación para WC privado en cada módulo
Baños comunes para Damas y Caballeros
en PB del Centro Comercial y del N3 al N6
de la Torre de oficinas y consultorios

Elevadores
3 Elevadores de lujo
Cabinas de lujo, con muros de acero
inoxidable, acentos de madera, espejos y
pisos de granito
Sensor de peso límite y sistema de
control de acceso por medio de código
QR para filtro de visitas
Puertas de respuesta inmediata y alta
sensibilidad

Estacionamiento
Amplios cajones de estacionamiento
divididos en:
97 lugares planta baja y 148 en sótano.
Cajones en sótano y a nivel calle
Área de estacionamiento privativo con
control de acceso con tarjeta inteligente

Pet friendly
Seguridad
Estacionamiento amplio y seguro
Área recreativa

Para mayor información favor de contactarnos por este mismo medio.
precios sujetos a cambios y a disponiilidad.


NEXIMOINMOBILIARIADIGITAL",26 Aug 22 07:02 CDT,Vendo,0,ncc@neximo.mx,Oficinas/locales,0,29 m²,5570055984
2,Local Comercial en Venta en Santa Anita,https://www.segundamano.mx/anuncios/puebla/zaragoza/venta-inmuebles/local-comercial-en-venta-en-santa-anita-public-ads-938360450,7256891,https://images.segundamano.mx/api/v1/smmx/images/05/0568044744.jpg?rule=webp_web_gallery_2x,Puebla,Zaragoza,Santa Anita,"Tipo de inmueble: Local comercial
Superficie del Terreno 396.51 m2
Superficie de Construcción 363.38 m2
Precio publicado: $7,256,890.00 pesos.

Uso de Suelo: Comercial.

Disponible para la venta.

Cerca de:
Escuelas, Universidades, Centros comerciales, Tiendas, Lineas de transporte.

Favor de revisar con la inmobiliaria el estatus jurídico de esta propiedad.

Adicionalmente, tenemos en venta 37 inmuebles comerciales:

 Con posibilidad de adquisición en paquete o por propiedad individual.

 Ubicación de inmuebles en corredores comerciales estratégicamente posicionados en 16 estados del país (México).

 Único dueño con documentación en orden, propiedades listas para escrituración.

 Propiedades con uso de suelo comercial, algunas con potencial para desarrollar.

Atención inmediata.",26 Aug 22 07:01 CDT,Vendo,,servicioaclientes@conbursa.com,Oficinas/locales,1,363 m²,5632923588
3,"LOCAL COMERCIAL EN VENTA, COZUMEL QUINTANA ROO",https://www.segundamano.mx/anuncios/quintana-roo/cozumel/venta-inmuebles/local-comercial-en-venta-cozumel-quintana-roo-public-ads-938475950,3993560,https://images.segundamano.mx/api/v1/smmx/images/65/6528942848.jpg?rule=webp_web_gallery_2x,Quintana Roo,Cozumel,Cozumel Turístico,"Ref: NEX-150635

Este local comercial en venta, tiene una media en metros cuadrados de 54.89. Lo encontramos a la planta baja de un edificio de 6 niveles; a la planta baja podemos encontrar un lobby espacioso, business center, sala de juntas y los 8 locales comerciales. Es un desarrollo vertical que consta de 25 departamentos y 8 locales comerciales que se encuentran ubicados estratégicamente en el corazón de Cozumel, una de las zonas de mayor crecimiento y plusvalía de la riviera maya.

Hablando de ubicación, esta se encuentra sobre el boulevard de Cozumel, a tan solo 50 metros del mar, a 350 metros de la terminal de cruceros y ha 1 kilómetro de la estación de ferrys que vienen de Playa del Carmen.

Contamos con estacionamiento para autos y bicicletas.


NEXIMOINMOBILIARIADIGITAL",26 Aug 22 06:47 CDT,Vendo,0,ncc@neximo.mx,Oficinas/locales,1,54 m²,5570055984
4,Oficina en venta en Merida O-11,https://www.segundamano.mx/anuncios/yucatan/merida/venta-inmuebles/oficina-en-venta-en-merida-o-11-public-ads-937928556,2318826,https://images.segundamano.mx/api/v1/smmx/images/59/5918964457.jpg?rule=webp_web_gallery_2x,Yucatán,Mérida,México,"Ref: NEX-144744

METRO BUSINESS CENTER es un proyecto de oficinas como ningún otro en Mérida, ubicado en la colonia México, la nueva zona comercial de la Ciudad que comunicará a tu empresa con zonas residenciales, negocios, zona hotelera y plazas comerciales prácticamente a minutos de distancia.

GENERAL-
El edificio cuenta con 2 elevadores.
INSTALACIONES Y SERVICIOS

- Cajones de estacionamiento para visitas.
- Cajones de estacionamiento privado.
- Acceso controlado al estacionamiento de propietarios.
- Área de comedor para empleados.
- Bodegas.
- 2 Elevadores.
- Escalera de emergencia.
- Co-working por nivel.
- Sala de juntas por nivel.
PLANTA BAJA
- Recepción.
- Sala de espera.
- 2 Salas de juntas con capacidad para 8-10 personas.
- Bodega.
- Núcleo de baños (hombres y mujeres).
NIVEL UNO
- 2 Salas de juntas con capacidad para 8-10 personas.
- Área de Co-working.
- Núcleo de baños (hombres y mujeres).
NIVEL DOS
- 2 Salas de juntas con capacidad para 8-10 personas
- Sala de juntas con mesa redonda para 6 personasDequipada.


NEXIMOINMOBILIARIADIGITAL",26 Aug 22 06:28 CDT,Vendo,1,ncc@neximo.mx,Oficinas/locales,2,48 m²,5570055984
5,"Consultorio Nuevo en Venta en Torre Medica, Tuxtla",https://www.segundamano.mx/anuncios/chiapas/tuxtla-gutierrez/venta-inmuebles/consultorio-nuevo-en-venta-en-torre-medica-tuxtla-public-ads-937879469,3138094,https://images.segundamano.mx/api/v1/smmx/images/51/5193278889.jpg?rule=webp_web_gallery_2x,Chiapas,Tuxtla Gutiérrez,Santa Elena,"Ref: NEX-118366

Consultorio Nuevo en Venta en Torre Medica, Tuxtla Gutiérrez
Consultorio Nuevo en Venta en Torre Medica, Tuxtla Gutiérrez.
Consultorio u Oficina en venta en Complejo Distrito Alpha con una ubicación estratégica.



Ubicado en el desarrollo comercial más nuevo de Tuxtla Gutiérrez, cuenta con puertas y muros en cristal templado, así como el sistema de aire acondicionado integral/central y sistemas de conexión digital así como medio baño independiente.

Se tiene disponibilidad en varios pisos del edificio, cada piso tiene recepción y área de espera, baño de hombres, mujeres y discapacitados.

(se cuenta con consultorios más grandes a la venta)



2 Elevadores y escaleras de emergencias..



Distrito Alpha Icono Médico está conformado por cuatro inmuebles:

1. Hospital de alta especialidad

2. Torre de consultorios médicos

3. Plaza comercial

4. Nueva torre AP Medical Center con locales, oficinas y consultorios. 

Ubicado en la mejor zona comercial y de gran plusvalía en la ciudad, con dos accesos viales por el Boulevard Belisario Domínguez y el Libramiento Sur.

Empresas farmacéuticas, compañías de seguros, distribuidores de equipo médico, proveedores de la industria de la salud y gastronómicas entre otros, podrán formar parte del proyecto.

Cajones de estacionamiento distribuidos en dos sótanos.

Vialidades internas con bahías de ascenso y descenso en perímetro frontal.

Circuito cerrado en todo el perímetro.

Vigilancia 24 horas.

Fuentes y áreas verdes.



Incluidos:

Luz y agua en áreas comunes

Limpieza y mantenimiento de áreas comunes

Sonido ambiental

Vigilancia 24 horas

Administración





FACILIDADES DE PAGO



Crédito Interno:

Apartado con anticipo del 10%

Un mes después, a la firma de Contrato el 20%

El 70% restantes hasta 24 MSI




Empresas, marcas y médicos con un probado y sólido liderazgo nacional en el Campo de la Salud, conforman la plataforma sobre la que han de iniciar un extraordinario clúster de negocios para atender y aprov",26 Aug 22 05:29 CDT,Vendo,1,ncc@neximo.mx,Oficinas/locales,1,57 m²,5570055984
6,Oficina en Venta en Santa Fe,https://www.segundamano.mx/anuncios/ciudad-de-mexico/alvaro-obregon/venta-inmuebles/oficina-en-venta-en-santa-fe-public-ads-938393378,9000000,https://images.segundamano.mx/api/v1/smmx/images/50/5023054994.jpg?rule=webp_web_gallery_2x,Ciudad de México,Álvaro Obregón,Paseo de las Lomas,"Excelentes oficinas amuebladas y listas para ocuparse. Son 2 oficinas unidas, las cuales se puedes vender juntas o separadas
Ubicadas en Santa Fe frente a la Ibero, al lado edificio de Bité - Médica. 

Area Total de oficina
 Construccion 211 m2 $ 9,000,000
Oficina principal con baño privado
 10 cubículos,
2 salas de juntas 
Cocineta. . 
2 lugares de estacionamiento

Oficina A 
Construccion 104: 85.5 m2 $ 4, 500,000,
Sala de juntas
6áreas de trabajo
1 estacionamiento.

Oficina B 
Construccion 105: 75.5 m2 $ 4,500,000 
Sala de juntas,
Oficina con baño privado
4 áreas de trabajo
Recepción
Cocineta
1 lugar de estacionamiento. EasyBroker ID: EB-KO9966",26 Aug 22 05:04 CDT,Vendo,,,Oficinas/locales,2,210 m²,5515101313
7,"Consultorio Nuevo en Venta en Torre Medica, Tuxtla",https://www.segundamano.mx/anuncios/chiapas/tuxtla-gutierrez/venta-inmuebles/consultorio-nuevo-en-venta-en-torre-medica-tuxtla-public-ads-937850295,2852813,https://images.segundamano.mx/api/v1/smmx/images/46/4653842943.jpg?rule=webp_web_gallery_2x,Chiapas,Tuxtla Gutiérrez,Santa Elena,"Ref: NEX-113754

Consultorio u Oficina en venta en Complejo Distrito Alpha con una ubicación estratégica.



Ubicado en el desarrollo comercial más nuevo de Tuxtla Gutiérrez, cuenta con puertas y muros en cristal templado, así como el sistema de aire acondicionado integral/central y sistemas de conexión digital así como medio baño independiente.

Se tiene disponibilidad en varios pisos del edificio, cada piso tiene recepción y área de espera, baño de hombres, mujeres y discapacitados.

(se cuenta con consultorios más grandes a la venta)



2 Elevadores y escaleras de emergencias..



Distrito Alpha Icono Médico está conformado por cuatro inmuebles:

1. Hospital de alta especialidad

2. Torre de consultorios médicos

3. Plaza comercial

4. Nueva torre AP Medical Center con locales, oficinas y consultorios. 

Ubicado en la mejor zona comercial y de gran plusvalía en la ciudad, con dos accesos viales por el Boulevard Belisario Domínguez y el Libramiento Sur.

Empresas farmacéuticas, compañías de seguros, distribuidores de equipo médico, proveedores de la industria de la salud y gastronómicas entre otros, podrán formar parte del proyecto.

Cajones de estacionamiento distribuidos en dos sótanos.

Vialidades internas con bahías de ascenso y descenso en perímetro frontal.

Circuito cerrado en todo el perímetro.

Vigilancia 24 horas.

Fuentes y áreas verdes.



Incluidos:

Luz y agua en áreas comunes

Limpieza y mantenimiento de áreas comunes

Sonido ambiental

Vigilancia 24 horas

Administración





FACILIDADES DE PAGO



Crédito Interno:

Apartado con anticipo del 10%

Un mes después, a la firma de Contrato el 20%

El 70% restantes hasta 24 MSI




Empresas, marcas y médicos con un probado y sólido liderazgo nacional en el Campo de la Salud, conforman la plataforma sobre la que han de iniciar un extraordinario clúster de negocios para atender y aprovechar las grandes oportunidades que tenemos por delante.

CARACTERÍSTICAS



Cisterna

Estacionamiento techado

Facilidad p",26 Aug 22 05:04 CDT,Vendo,1,ncc@neximo.mx,Oficinas/locales,1,57 m²,5570055984
8,SE TRASPASA LABORATORIO MEDICO ZONA DE,https://www.segundamano.mx/anuncios/ciudad-de-mexico/tlalpan/venta-inmuebles/se-traspasa-laboratorio-medico-zona-de-public-ads-938393386,3000000,https://images.segundamano.mx/api/v1/smmx/images/50/5094713360.jpg?rule=webp_web_gallery_2x,Ciudad de México,Tlalpan,Tlalpan Centro,"SE TRASPASA LABORATORIO MEDICO ZONA DE 
 SE TRASPASA LABORATORIO MÉDICO ZONA DE HOSPITALES CDMX

Se traspasa laboratorio médico en perfectas condiciones y funcionando, dentro de la zona de hospitales de Tlalpan.

Características:

 Laboratorio totalmente equipado con Rayos X, mastógrafo, ultrasonido, endoscopio y colposcopía
 Salas de estudios
 Registro sanitario y permisos en regla
 10 consultorios
 3 de los consultorios son amueblados
 2 salas de espera
 4 baños

PRECIO

 Traspaso: $3,000,000 MXN
 Renta : $70,000 MXN

No esperes más para hacerte de esta oportunidad de inversión, no hay mejor zona que esta para laboratorios médicos.

Para recibir más información contáctanos, estaremos encantados de atenderte. EasyBroker ID: EB-KP0634",26 Aug 22 05:02 CDT,Vendo,4,,Oficinas/locales,3,400 m²,5515101313
9,OFICINA AVENIDA HOMERO,https://www.segundamano.mx/anuncios/ciudad-de-mexico/miguel-hidalgo/venta-inmuebles/oficina-avenida-homero-public-ads-938472144,5800000,https://images.segundamano.mx/api/v1/smmx/images/64/6445166815.jpg?rule=webp_web_gallery_2x,Ciudad de México,Miguel Hidalgo,Otra,"Colonia: Polanco

MUY BIEN UBICADA OFICINA O CONSULTORIO EN POLANCO, EXCELENTE EDIFICIO, AMPLIA AREA DE TRABAJO, DOS BAÑOS CON EXTRACTOR, AIRE ACONDICIONADO, PRIVADO, UN LUGAR DE ESTACIONAMIENTO, TRES ELEVADORES, CONTRA ESQUINA CON LIVERPOOL. LA RENTA INCLUYE EL IVA Y MANTENIMIENTO. ¡¡¡NO SE LA PIERDA!!! (12)",26 Aug 22 05:01 CDT,Vendo,2,remaxinformesventas@gmail.com,Oficinas/locales,1,117 m²,5584340441
